Demanda;Categoria
prezados,a companhia de seguros HDI SEGUROS se negou a pagar o premio de seguro decorrente de acidente de trânsito de um segurado.sua alegação é porque o veículo de terceiro tinha multa e ipva atrasados, e, seu regulamento interno não permite a indenização do sinistro.Prezados,A companhia de seguros é mero ator do setor de serviços, e, não pode legislar em questões de trânsito. e, por outro lado, houve o sinistro. o segurado já assumiu o dolo e quer pagar a indenização e HDI SE recusa. assim, venho denunciar a conduta ilegal da seguradora HDI SA ao não pagamento do sinistro, e, concomitantemente solicitar o apoio da legislação que ampara ao terceiro prejudicado e interessado.obrigadoGERALDO;Seguro de Automoveis
"Prezados, boa noite!Sou cliente do seguro Vida Individual da Prudential do Brasil S/A  e, desde o dia 33/33/3333, estou tentando, sem sucesso, efetuar uma simples adição de beneficiário e redistribuição do percentual que compete a cada um deles em meu seguro de vida. Portanto, a pessoa a qual desejo adicionar está, até o momento, à mercê do acaso se porventura ocorrer um eventual sinistro, um completo absurdo e violação de contrato por parte da empresa..Voltando à narrativa dos fatos, enviei, conforme instruído por meu corretor, um e-mail para o endereço ""email"", com o formulário da própria empresa, devidamente preenchido e assinado, com a discriminação dos nomes e percentual conferido a cada um dos beneficiários, além de cópia do meu documento de RG. Dia 33/33/3333, recebi um retorno a este e-mail dizendo que ""Em resposta ao seu e-mail, confirmamos o recebimento do documento abaixo e será direcionado para o setor responsável   Formulário para alteração de beneficiarios>.Ressaltamos que este documento passará por análise e em caso de novas pendências, entraremos em contato."" Não me deram, portanto, prazo e nem a confirmação da efetivação da mudança. Decidi, assim, tendo em vista a ausência dessa informação e que no site constava a distribuição antiga dos beneficiários, entrar em contato no dia 33/33/3333 via wpp, através do número 3333 333 3333, que é o do SAC Vida Individual (conforme prints do site em anexo). Sem sucesso em me responderem, voltei a entrar em contato no dia 33/33/3333 ( sábado), dado que o site diz que o atendimento por esse canal é ""todos os dias!"" e também nada de retorno. Finalmente, dia 33/33/3333, a atendente Francisca respondeu minha mensagem, a qual  indaguei até quando seria resolvido, e a resposta foi ""Recebemos seu formulário dia 33/33 e foi solicitado prioridade dia 33/33, o prazo para efetivação do processo é de até 3 dias úteis"". Ela me informou que até o dia 33/33 estaria resolvido.Obviamente, dia 33/33/3333, nada estava resolvido. Ao acessar o site, constava a exata mesma distribuição antiga de percentual e sem a adição da nova beneficiária. Dia 33/33/3333, novamente voltei a acioná-los por meio do número 3333 333 3333, onde, surpreendentemente a atendente Tamires me retornou com a seguinte informação:  ""João, Verifiquei que seu canal de atendimento é o Prudential Responde, você possui um atendimento exclusivo, peço por gentileza que os contate diretamente no WhatsApp 33 3333-3333, de segunda a sexta-feira das 33h às 33h exceto feriados, basta clicar no link https://wa.me/333333333333"". Engraçado que, conforme mencionei anteriormente, a atendente Francisca, por esse mesmo canal, havia consultado informação procedente a esse assunto no dia 33/33/3333, e misteriosamente agora não era mais possível.Portanto, acionei o novo número, 33 3333-3333 (""Prudential Responde"", conforme consta no site da Prudential) nesse mesmo dia, o qual, coincidentemente, fui atendido novamente pela Tamires, que, nesse caso, simplesmente se fez de desentendida e se negou a prosseguir com o atendimento, ignorando minhas mensagens. Nessa mesma data, completamente ultrajado com o descaso e demora, enviei um e-mail para o canal ""email"", relatando a situação, inclusive do atendimento da atendente Tamires via wpp, e exigindo uma conclusão urgente para o caso.Em resposta a este e-mail, no dia 33/33/3333, recebi o seguinte retorno:""OUVIDORIA - EMAIL - PROTOCOLO N° 33333333 Olá, João,Sua manifestação, registrada em 33/33/3333 por meio do E-mail, foi recebida pelo time de Ouvidoria e será direcionada para que seja inicialmente tratada pelo SAC, tendo em vista a não identificação do registro de conclusão anterior por este canal."" Me informaram que o prazo para resposta e resolução era até dia 33/33, ou seja,  toda hora uma nova postergação de prazo, por TODOS os canais possíveis, e nada de efetivarem a adição e redistribuição dos percentuais.Já impaciente e extremamente agoniado com a situação, visto que o objetivo de um seguro de vida deveria ser justamente te permitir  ficar tranquilo sabendo que as pessoas que você ama estarão resguardadas em alguma eventualidade, NOVAMENTE entrei em contato, já no dia 33/33/3333, desta vez via telefone no número 3333 333 3333 (Ouvidoria Prudential), em que o atendente Josué me redirecionou novamente para o canal de atendimento Prudential Responde (via ligação), onde falei com a atendente Georgia, que me passou o protocolo 33333333, me pediu desculpas pelo atraso absurdo e disse que ""até o dia 33/33 estaria concluído"". Pois bem, hoje é dia 33/33 e continua a mesma coisa, como era de se esperar.Nesse meio tempo, importante mencionar, que em resposta ao e-mail em que eu havia enviado reclamando, me responderam pelo ""email"" no dia 33/33/3333  dizendo basicamente que:  ""Informamos que recebemos o formulário para a alteração de beneficiários da sua apólice de seguro de vida POB 333333333, no entanto identificamos que uma das beneficiárias indicada (nome da minha namorada) possui grau de relacionamento diferente de cônjuge, filho, pai/mãe, irmão, avó, neto, tio, sobrinho, noivo(a), afilhado, devido à isso, será necessário o envio da declaração de interesse segurável Salientamos que deverá ser uma declaração simples datada e assinada informando qual o interesse em deixar ( nome beneficiário) como beneficiária da apólice.""Adicionaram, ainda, que ""Aguardamos o envio da declaração para darmos continuidade na alteração dos beneficiários."" e que ""Sua reclamação foi concluída na presente data e permanecemos à disposição para quaisquer esclarecimentos."". Ou seja, deram como resolvida a reclamação.Nesse mesmo dia, enviei essa declaração devidamente assinada e preenchida em resposta a esse e-mail e, até o momento, nada.Ou seja, estou à mercê da boa vontade da empresa para que uma das pessoas que ainda não constava em meu seguro seja cadastrada como beneficiária. Já faz quase 3 mês, já tentei LITERALMENTE por todos os canais e não há atendimento, resolução e sequer atualização. Uma vergonha, descaso total. Necessito, portanto, tendo em vista o relato e os prints procedentes em anexo, que atestam o que foi dito, que sejam aplicadas as devidas sanções, multas e/ou penas administrativas à Prudential do Brasil S/A  e que isso seja devidamente regularizado o quanto antes. É inacreditável o tempo despendido nos canais de atendimento, e-mails, mensagens de whatsapp e, finalmente, o fato de eu ter de recorrer à vocês da SUSEP através deste relato enorme para resolver algo tão simples assim. Enfim, estou bastante revoltado com o descaso que a empresa apresenta com o cliente. Pra cobrarem o débito automático, fazerem a proposta do seguro e afins eles tem uma agilidade e assertividade impressionantes!Agradeço de antemão todo o auxílio!Att,João";Seguro de Pessoas
Meu nome é R   cpf 333.333.333-33 SUSEP: 33.333333-3 Cidade: Porto Alegre - RS Por gentileza preciso que seja emitida por vocês uma declaração com a data que meu registro foi cancelado junto a esse Órgão, não precisa expor o motivo, para comprovar junto a um órgão do município sobre isenção do ISS. Que em 3333 éramos isentos de iss e a partir de 3333 mudaram a legislação sem avisar ninguém e começaram a cobrar, só que eu havia mudado deste município em 3333 e já não trabalhava mais com seguros. Esta declaração pode ser enviada na resposta deste e-mail.   emailDesde já agradeço a sua atenção e fico a disposição para mais esclarecimentos que por ventura se fizerem necessários. At.teR(33) 33333-3333;Cadastro
"Pessoal, já abri uma outra reclamação com o protocolo 33333.333333/3333-33 e fui orientado a abrir outro protocolo para anexar a evidência de retorno com a área responsável, para que vocês possam me ajudar agilizando o atendimento. Segue anexo o e-mail que me atendeu. Por favor, me ajudem, estou com o recebimento travado e preciso pagar as contas de casa.Pessoal, sou corretor de seguros, possuo o CNPJ: 33333333.3333-33, sendo empresário individual e minha SUSEPE foi suspensa de forma indevida, me informaram que o requerimento empresarial não é o contrato social. Porém, para o meu segmento (empresário individual), o requerimento de empresário individual é um documento que substitui o contrato social e, assim, dispensa a existência de sócios para a formalização de uma empresa e o registro na Junta Comercial. Conforme ""perguntas e respostas"" do site da SUSEP, o empresário individual precisa enviar apenas o ato constitutivo para cadastramento. Quando o empreendedor abre uma empresa individual, onde não há sócios o contrato social é substituído pelo requerimento do empresário individual. Entretanto, o documento tem o mesmo valor, porém recebe outro nome. Ele também é registrado na junta comercial. Portanto preciso de retorno e desbloqueio de forma urgente! Aguardo retorno!";Cadastro
Prezados, boa tarde! Tudo bem?Gostaria de saber como realizar a atualização de razão social da empresa CORRETORA DE SEGUROS LTDA, CNPJ: 33.333.333/3333-33.A mesma passou por uma atualização cadastral e o novo documento já foi adicionado ao site, contudo, não consigo atualizar os dados no sistema. Uma vez que tal campo é bloqueado.;Cadastro
O senhor Glênio  deseja incluir esposa e filhos.segue anexo .;Não identificada
Eu sofri um acidente em dezembro, fiz todos os procedimentos que a localização me passou, tanto com o carro quanto com o terceiro, fiz o pagamento do concerto do carro e troquei o veículo e esperei que a localiza me mandasse o boleto do terceiro até ontem nada, de repente o terceiro me liga e fala que o seguro não tinha sido aprovado por falta de pagamento sendo que eles não tinha me notificado que eu deveria pagar a franquia do seguro antes, mais tudo bem, vim na localiza efetuar o pagamento, aí tudo certo, passei todos os dados que eles me passaram para orientar o terceiro, e me disseram que tudo seria resolvido, então pouco tempo depois o terceiro me liga informando que ainda assim tinha sido segado o seguro, mesmo eu tendo pago o valor da franquia mais um acréscimo de 33% que ele me cobraram, ainda assim não for resolvido, e novamente vim a localiza e a mesma disse que só posso continuar agora pelo atendimento pelo celular, pois aqui eles não podem me ajudar mais o atendente que me atendeu, disse que após o pagamento tudo ia ser resolvido, até então só estou tendo transtorno com esse seguro;Seguro de Automoveis
Gostaria de saber quais sao os seguros ativos em meu cpf 333.333.333-33;Seguro de Pessoas
PREZADOS BOM DIA !! PODE ME AJUDAR NESSA QUESTÃO PF.NO MEU CONTRATO SOCIAL ESTA EU JOAO COMO RESP ADM E MEU SOCIO MARCOS COMO RESP. TECNICO, POREM EM MAIO 3333 ELE VEIO  A FALECER E ESTAMOS NOS TRAMITES DE INVENTARIO AGUARDANDO JUIZ LIBERAR ALVARA PARA QUE EU POSSA ALTERAR MEU CONTRATO SOCIAL E INCLUIR MINHA SUSEP COMO RESPOSAVEL TECNICO...POREM .DEPENDEMOS DO ALVARA JUDICIAL PRA ALTERAR O CONTRATO......PRECISO DE AJUDA PRA MANTER MINHA CORRETORA ATIVA UMA VEZ QUE IREI PASSAR A SER RESPONSAVEL TECNICO...COMO DEVO PROCEDER ? SEGUE ANEXO DOCUMENTOS;Cadastro
Bom dia! sofri um acidente de transito em 33/33/33 e em 33/33/33 dei entrada no DPVAT 3333333333 e desde então começou minha saga, pelo APP não consigo concluir pois abriu pendencia e o sistema falha, liguei no 3333 me mandaram procurar a agencia da minha cidade Arapongas/Pr que eles poderiam resolver, fui ate lá 3x por 3 semanas seguidas, pois o unico funcionario que foi treinado para dpvat estava de ferias e depois teve dengue, ok! depois que consegui falar com ele, ele também não sabe o que fazer e disse que ia tentar, levei tudo de novo os papeis fisicos que ele pediu e isso ja fazem 3 semanas, e não tenho um retorno. A seguradora da Caixa que comprou o DPVAT não soluciona o meu problema e sem contar que estar exigindo algo surreal, como tenho Unimed maioria dos gasto eu fiz pelo plano, pediram as faturas completas, comprovante de pagamento das faturas e o comprovante de modo que foi pago, ate o atendente da caixa da cidade não entendeu tal solicitação. Hoje 33/33/33 fui na caixa de novo e o atendente foi transferido, não ficou ninguem em especifico para atender, preciso voltar la e pegar uma senha e rezar para quem me atender ter boa vontade em me ajudar, pois das outras vezes que eu fui não encontrei isso! Quero registra minha reclamação e pedir um retorno por parte do departamento que supervisiona os seguros que sei que é a SUSEP, pois por ser orgão do governo a Caixa não temos muitos meios de reclamar, tudo e muito moroso e dificil, so estou pedindo o que me e de direito.;DPVAT/SPVAT
Prezados, Solicito por gentileza o apoio da SUSEP - Superintendência de Seguros Privados, visando notificar a empresa Visa do Brasil - Representante de AIG Seguros, uma vez que foi realizado contratação de seguro viagem e posteriormente aberto processo sinistro 33333333, no site https://visabenefitslac.axa-assistance.us/ e que não obtenho uma resposta efetiva sobre o pagamento do seguro, conforme detalhamento abaixo:Mantive contato com a central de atendimento VISA por telefone e fui informado em novembro/3333, que o processo de análise tinha sido concluído e que o valor correto para pagamento seria de U$ 333,33 (trezentos dólares), mas que a empresa não tinha previsão de data para efetuar o pagamento.Diante do exposto, solicito por gentileza que seja realizado notificação a empresa supracitada, visando a conclusão de minha demanda.Atenciosamente,;Seguro de Pessoas
Resgate de seguro susep 33.333.333333/3333-33;Não identificada
"Recebi um email com a seguinte pendencia e não sei como resolver.""A situação do cadastro na Receita Federal é diferente de ativo""Minha susep 333333333";Cadastro
Bom dia!  Reclamação já regsitrada na SUSEP e no BACEN.Gostaria de registrar uma reclamação em face ao banco Bradesco, pela falta de retorno referente a minha demanda frente ao departamento de previdência corporativa. Fui funcionário do banco HSBC desde 3333, que foi adquirido pelo Bradesco em 3333, onde fui desligado em 3333, ou seja tenho aproximadamente 33 anos de empresa. Desde dezembro de 3333, contratei um plano de previdência corporativo pelo HSBC, conforme condições anexadas, onde eu contribuía com um valor mensal sobre meu salário e o banco complementava um percentual adicional. Nas condições anexadas fica evidente tal informação, sendo composto de parte da empresa e parte do funcionário, tendo o funcionário direito ao recebimento de 333% da parte da empresa após 33 meses de vínculo empregatício e sem dispensa por justa causa. Após ser desligado da empresa em 33 de março de 3333, com quase 33 anos de trabalho e dedicação a empresa liguei a central de previdência corporativa, tel 3333-3333 em 33 de maio de 3333, não foi fornecido protocolo de atendimento. A funcionário me passou que teria direito a 33% da parte da empresa, embora o contrato celebrado com a instituição original preveja 333%. Questionei e a mesma me orientou a preencher o resgate total no formulário via site e assim o fiz. Passados alguns dias eis que cai em minha conta corrente somente o valor atribuído a minha contribuição, Liguei em 33 de maio novamente a central e o funcionário me passou que era isso mesmo. Insisti com informação passada pela atendente anterior e este me passou que abrira uma solicitação ao departamento e que me retornaria por e-mail ou ligação, fato este que não ocorreu desde então. Pelo que sei, quando uma empresa adquire outra ela tem de assumir os ativos e passivos da mesma, se em contrato permite o recebimento total, o banco deve honrar o contrato, não pode fazer mudança unilateral sem consentimento do consumidor. No aguardo de uma solução para que possamos resolver de maneira amigável a demanda.Em minha demanda acima descrita, o Bradesco afirma que os planos são distintos, enviando cópia uma proposta de contratação, a qual replico aqui. Se for observada detalhadamente fica mais que evidenciado o vínculo que foi feito com a proposta que tinha junto ao Banco HSBC, pois no campo razão social, consta na tal proposta o nome KIRTON BANK S/A BANCO MÚLTIPLO, que foi o nome que o Bradesco registrou para o HSBC Brasil, por não poder mais usar este nome no Brasil, assim como o CNPJ 33.333.333/3333-33 que é o da matriz do HSBC Brasil. Ou seja foi contratada uma previdência no Bradesco, porém este portabilizou meu plano que havia com o HSBC, sem meu consentimento, ao plano do Bradesco, alterando as condições contratuais, também sem meu consentimento e autorização. Observa-se que na proposta que o Bradesco enviou como defesa da reclamação anterior não consta qualquer menção sobre resgates, carências ou quaisquer dados técnicos sobre o plano novo, o que fere o código de defesa do consumidor. Em 33/33/3333 solicitei o resgate total e cancelamento do plano, o qual o Bradesco me pagou a minha parte, alegando que não irá pagar a parte da empresa, devido carência não ter sido cumprida, porém, pelas regras da contratação original do HSBC eu tenho direito ao recebimento integral da parte acumulada pela empresa, conforme documentação já enviada quando da demanda anterior. Ocorre que, nesta data, ao verificar meus extratos de conta corrente dos últimos meses percebo novos descontos em minha conta em 33/33 e 33/33, sob a rubrica Plano de Previdência Privada, feitos pelo Banco, novamente, sem minha autorização seja por escrito ou de forma eletrônica, mesmo tendo sido o plano questionado resgatado totalmente, com cancelamento, conforme diz a regra do produto. Em consulta pelo aplicativo sou informado de produto contratado em 33/33/3333.Dos Pedidos, a fim de se evitar ação cível: 3- Revisão do processo de resgate efetuado em 33/33/3333, com o pagamento integral e atualizado da parte da empresa, pois o plano contratado originalmente era do HSBC, com regras próprias e atingidas para resgate total. Bradesco portabilizou em 3333 o plano HSBC sem minha autorização para o plano contratado. 3- Restituição em dobro e atualizado monetariamente, dos valores descontados indevidamente na conta 333333-333333333-3 em Agosto e Setembro para o plano já cancelado desde Maio, conforme determina o código de defesa do consumidor ou apresentação da proposta assinada (digitalmente ou fisicamente) e datada de 33/33/3333 para contratação de novo plano. Sem mais para o momento;Previdência Complementar Aberta
Na condição  de defesor legalmente  constituido solicito vistas  pelo prazo de 33 ( cinco dias )  do processo 33333.333333/3333-33 -ORRETORA DE SEGUROS J - OAB/SP 333333;Não identificada
Abri um sinistro no Santander na data do dia 33/33/3333, o mesmo foi finalizado na data do dia 33/33/3333. A indenização foi no valor de 333 reais, sendo que o valor solicitado da utilização indevida seria de 333 reais, eu fui assaltado e o bandido utilizou meu cartão por aproximação. Solicitei a reanálise na data 33/33/3333 onde foi solicitado o envio dos documentos pelo o portal. Ele não estava habilitado para o envio dos documentos. Foi passado um e-mail errado pelo atendente, esse foi e-mail foi errado. Nisso depois eu entrei em contato me passaram o e-mail correto. Porém o protocolo RA- 3333 já estava fechado informando que não foi enviado os documentos. Eu entro em contato todo dia e sempre é passado uma informação diferente ninguém consegue me ajudar. O último protocolo 333333333, que foi do atendimento do dia 33/33/3333, a atendente não soube me explicar o que aconteceu. Solicito a reanálise e o pagamento do valor complementar de 333 reais que seria o que falta da indenização que deveria ter sido pago do sinistro.;Não identificada
Senhores,,A nossa Corretora está com o cadastro na Susep suspenso e não podemos efetuar as renovações de nossos clientes de Seguros. Já é a segunda vez que isto ocorre e gostaríamos de saber porque está suspenso o nosso cadastro na SUSEP.Nosso CNPJ : 33.333.333/3333-33 – Corretora de Sguros Ltda ME.Aguardo un retorno,Grato;Cadastro
Assunto: Denúncia de Irregularidades na Gestão de Previdência Privada - Pedido de Intervenção da SUSEPPrezados,Gostaria de relatar uma situação preocupante em relação à gestão de um plano de previdência privada contratado junto ao antigo Banco Real, que, após a aquisição pelo Banco Santander em 3333, tem sido fonte de grande desconforto e frustração.Em 3333, contratei um plano de previdência (Certificado nº 333333333) com o Banco Real, que posteriormente foi absorvido pelo Banco Santander. Recentemente, ao manifestar atualização de informações sobre o pecúlio contratado, recebi uma resposta do banco que, para minha surpresa, alegou não ter registro do documento correspondente ao período anterior a 3333.O banco afirmou que, devido ao tipo de produto ser do ramo de previdência, não há renovação anual como em produtos de seguros, e, portanto, não conseguem localizar o documento em seus sistemas. No entanto, a resposta fornecida não condiz com o serviço contrato, e os produtos mencionados, no plano atual (que alegam não ter registro do mesmo) não correspondem ao que eu pensava ter contratado relacionado a um plano de previdência. A explicação sobre a natureza do plano antes como Previdência passou para um contrato de Cobertura de vida do qual o produto não pode ser resgatado . O banco assim informa que o objetivo principal do serviço atual, trata-se de um plano de seguro de vida cujo o pagamento do pecúlio só será fornecido, aos beneficiários indicados, apenas em caso de falecimento do titular, e não como uma cobertura resgatável. Mesmo nesse caso, após anos de dedução direta em conta salário o total do pecúlio também não parece condizer com o valor do seguro, sendo informada que este seria apenas de R$333,333.33 após todos estes anos de investimento no valor atual de R$333,33 mensais. Considerando a falta de transparência e a aparente discrepância nas informações fornecidas pelo Banco Santander, solicito a intervenção da Superintendência de Seguros Privados (SUSEP) para esclarecer e corrigir essa situação. Entendo que a SUSEP é a entidade responsável pela regulamentação e fiscalização do setor, e confio que poderá auxiliar na resolução deste impasse.Agradeço antecipadamente pela atenção e espero que esta denúncia possa contribuir para a proteção dos direitos dos consumidores e a integridade do setor de previdência privada.Atenciosamente,;Previdência Complementar Aberta
Parcela do seguro devolvido Gostaria de sabe o motivo da minha parcela te sindo devolvida ?;Não identificada
SUSEP 333333333 está suspensa, a mais de uma semana tentamos contato pelo email email sem retorno algum, não temos nenhum telefone ou suporte para falarmos. Uma profunda falta de respeito com o corretor, visto que não fomos comunicados pelo orgão da suspensão, muito menos sabemos o motivo, uma vez que seguradora parceira que nos comunicou.Precisamos urgentemente resolver a situação da corretora, que já tem responsável tecnico cadastrado, mas não consegue vincular o cnpj e habilita-lo.;Cadastro
Estamos com o cadastro da corretora suspenso por causa do CNAE e não sabemos como proceder, presicamos de ajuda!;Cadastro
Sou herdeira neta, gostaria de verificar se meu avô Jair  portador do CPF 33333333333 data de nascimento 33/33/3333 falecido em 33/33/3333 tem apólices de seguro em seu nome?;Seguro de Pessoas
Prestador bruno foi a minha casa consertar a maquina de lavar roupa, instalar pecas solicitadas pkr ele na avaliacao. Apos horas tentando realizar o servico, claramente demonstrando inabilidade, foi embora deixando a maquina SEM FUNCIONAR e solicitou que agendasse outra visita para 3a feira seguinta pois tinha esquecido uma ferramenta. No laudo de seu servico descreve que terminou servico e que nao CABE RETORNO. Essa atitude vai me fazer “gastar” um atendimento que tenho direito para terminar o servico dele, sendo que primeiramente o tecnico avalia para deois consertar, me fazendo ficar mais tempo ainda com a maquina quebrada. Central de atendimento se recusa a mandar prestador para dar continuidade ao servico. Disse que mandaria outro funcionario para avaliar. Pedi que abrisse uma reclamacao sobre o atendimento da central e abriram como se eu estivesse reclamando di prestador. Empresa desonesta compessoas que tratam cliente desrespeitosamente, duvidando da nossa inteligencia. Os 3333333-33;Seguro de Danos
Recadastrar minha certificado de habilitação tecnica (susep), numero 333333333;Cadastro
Boa tarde,Senti um pouco de dificuldade na descrição de assunto, peço que me corrijam e orientem se estiver incorreta. Realizei a certificação para corretora de seguros pela ENS. O cadastro de corretores, realizada pelo gov.br, solicita que eu tenha conta ouro no gov.br. Ao solicitar o aumento de nível por validação facial do TSE, que se aplica aos que possuem biometria cadastrada, que é o meu caso, o site me retorna dizendo que não possuo biometria cadastrada no TSE, o que não confere, pois realizei há muito tempo e utilizo este mecanismo para votar. Acredito então que seja um erro sistêmico e preciso de uma solução para realizar meu cadastro de corretora e poder trabalhar! Envio anexo print do E-Título que mostra que possuo a biometria e também foto do erro no site gov.br ao solicitar o aumento de nível exigido pela susep para tal cadastro. Complemento que solicitei ajuda da susep e me orientaram a buscar ajuda de vocês.;Cadastro
"Prezado(a), boa tarde. Dados do requerente: M, OAB PR 33.333.Em 33 de dezembro de 3333 faleceu a Sra. M, a qual era inscrita no CPF n. 333.333.333-33. Em atuação extrajudicial e judicial, sou o advogado de 3 herdeiros - irmãos da falecida: (i) R, CPF/MF sob n. 333.333.333-33, (ii) D, CPF n° 333.333.333-33 e (iii) J, CPF sob n. 333.333.333-33. Todos os 3 herdeiros são irmãos da Sra. Falecida, conforme fazem prova os documentos em anexo demonstrando o vínculo sanguíneo direto.A família tem conhecimento da existência de diversos produtos como Planos VGBL, PGBL, seguros de vida e outros direitos e contratações na área de previdência privada e seguro de vida. Contudo, ao ir aos bancos, estes se recusaram a entregar e fornecer as informações acerca da existência destes produtos. Veja: não estamos buscando ""sacar"" os valores ou receber as quantias. O que queremos é saber da existência ou não destas contratações e - caso existentes - quais os contratos, os valores, o Prêmio devido, etc - para que assim os familiares e legítimos herdeiros possam TOMAR AS DEVIDAS PROVIDÊNCIAS.Contudo, sem as informações, a família/herdeiros estão ""no escuro"", sem saber como e onde proceder. Informa-se que o prazo prescricional para do segurado para requerer seguros é de apenas 3 ano (art. 333 do Código Civil) - o que é um prazo curtíssimo. E a família fica ainda mais prejudicada se não conseguir acessar as devidas informações à qual tem direito. Informamos que haviam valores debitados diretamente das contas bancárias da sra. M, os quais são indicativos da existência destes produtos/contratos de previdência privada e seguro(s) de vida.REQUERIMENTO: Tendo em vista o exposto, solicitamos que sejam feita buscas no sistema SUSEP e demais órgãos de registro de produtos bancários/previdenciários acerca da existência de seguros/contratos/direitos, para que seja informado tudo o existir em nome da Sra.  M, já falecida, a inscrita no CPF n. 333.333.333-33, portadora da Cédula de Identidade RG n. 333333-3 SSP/PR.Requer-se que a busca seja feita em todos os sistemas possíveis de consulta, dado que a Sra. falecida tinha um comportamento/hábitos de sempre contratar esse tipo de produto, pois era muito precavida, e sabemos que poderia ter sido comprado/adquirido junto à diversas instituições.Requer-se que as informações sejam enviadas no prazo de 3 dias, nos termos do art. 33 da Lei Federal n. 3333/3333. Termos em que pede e espera deferimento. M, OAB/PR 33.333(Obs: procuração por instrumento público com poderes expressos para atuar e representar os interessados perante a SUSEP. Verificar: Procuração Item 33, pg. 3 do arquivo pdf).";Seguro de Pessoas
Boa tarde, gostaria de saber a seguradora COMPANHIA DE SEGUROS ALIANÇA DO BRASIL - CNPJ 33.333.333/3333-33 está em liquidação extrajudicial e como consultar os créditos habilitados. Desde já agradeço.;Não identificada
TENHO UM SEGURO AZUL SEGURADORA, A SEGURADORA ENVIOU MEU CARRO PARA UMA OFICINA QUE FIQUEI 3 HORAS NO SOL PARA NO FINAL FALAR QUE NAO TINHA VAGA PARA CONSERTAR MEU VEICULO. PLACA LQL 3333 PASSEI MAL PELO CALOR DO RIO. HOJE NEM SEI ONDE TA O CARRO O QUE ACONTECEU. AINDA PAGUEI NO SEGURO CARRO RESERVA QUE DIZEM QUE NAO TENHO DIREITO ATE ACHAREM OFICINA PARA MEU CARRO. OU SEJA PAGUEI UM SEGURO COM SACRIFICIO E ATE AGORA NAO SEI ONDE TA O CARRO, SE FOI VISTORIADO E AINDA TENHO NEGADO O CARRO RESERVA QUE PAGUEI NA APOLICE SINISTRO NUMERO 3333333333. FIQUEI NO SOL NA OFICINA AIRBRUSH SEM AO MENOS TER UMA AGUA POR DUAS HORAS PARA SIMPLESMENTE FALAR AO FINAL QUE NAO TEM VAGA PARA MEU CARRO MUITO MENOS VISTORIA NEM CARRO RESERVA PAGUEI E SUMIRAM COM MEU CARRO BATIDO;Seguro de Automoveis
Olá, tudo bem? Meu nome é Israel, e gostaria de saber como funciona o processo de credenciamento e autorização para uma empresa atuar como seguradora. Além disso, gostaria de informações sobre como registrar um corretor e quais são os requisitos necessários. Agradeço antecipadamente pela ajuda.;Cadastro
Suspensão, como liberar?;Cadastro
A situação cadastral da corretora de seguros UP SEG seguros  CNPJ 33.333.333/3333-33 consta SUSPENSA, como vejo o motivo  e se tem como reverter ?;Cadastro
Caixa previdência coloca vários empecilhos de cliente fazer resgate da previdência, após ser esclarecido o conjunto de dados.;Previdência Complementar Aberta
Boa tarde! Preciso de ajuda para localizar o Seguro de Vida da minha mãe. Infelizmente ela faleceu em 33/33/33 e não estamos conseguindo localizar a apólice do seguro dela e nem sabemos de qual empresa ela contratou o mesmo. Então se os senhores pudessem nos ajudar nesse momento de tanta dor e fizessem um levantamento dos seguros que tinha no nome dela, seja de vida, de cartão de crédito, ... Desde já agradecemos!Segue os dados dela: H, data nascimento 33/33/3333, CPF 33333333333.;Seguro de Pessoas
Prezados, bom dia.Seguem documentos  para pesquisa, conforme decisão judicial.;Seguro de Pessoas
estou tentando baixar documentos da minha empresa para fazer cadastro na Bradesco seguro, porem não consigo encontrar o caminho, são eles Certificado de Pessoa Jurídica, e física e cart]ao CNPJ , site extremamente complicado sem nenhum tipo de orientação;Não identificada
Eu fiz todo o meu cadastro pela central 333, mais não deram procedimento no meu pedido do benefício, pois sofri um acidente i passei 3 meses sem trabalhar, pois estava impossibilitado de trabalhar, i preciso do benefício do DPVAT mais sempre q entro em contato com a central deles, eles só falam p está em espera mais até agr nada...!;DPVAT/SPVAT
"Prezados,Fui retirar uma Certidão da minha Corretora, e constatei que: ""Certificamos que RISCOS E CORRETAGEM DE SEGUROS LTDA, CPF/CNPJ nº ***.333.333-**, registro SUSEP nº 333333333, encontra-se com REGISTRO Suspenso"".Gostaria de saber o motivo e como posso regularizar junto a esse orgão e as seguradorad?Desde já agradeço.Marco CNPJ: 333333333333-33";Cadastro
segue anexo fatos ocorridos, conforme documento de manisfestacao ainda extra judical, para ´providencias que se fizerem cabiveis',;Não identificada
Uma carreta colidiu em meu carro, a seguradora Essor não autorizou o reparo, justifica que o valor cobrado pela oficina de minha escolha é fora do valor de marcado, fora do valor de mercado é a tabela deles, para obrigar a ir em uma oficina credenciada deles e ele ficarem com o custo menor. Quero que faça o reparo onde confio no serviço, tenho esse direito.;Seguro de Automoveis
Venho por meio deste canal solicitar informações se há existência de seguro de vida em nome do meu pai, Fxxxxxxx, nascido em 33/33/3333 e falecido em 33/33/3333.Seguem anexo meu documento CNH e documentos do meu pai (RG, CPF, Endereço e atestado de óbito).;Seguro de Pessoas
